ID,Source,Name,Domain,TaskType,N,D,Date
iris,UCI,Iris,Tabular,Classification,150,4,2024-11-02
wine,UCI,Wine,Tabular,Classification,178,13,2024-11-02
digits,sklearn,Digits,Vision,Classification,1797,64,2025-01-08
moons,sklearn,Moons,Toy,Classification,1000,2,2025-01-08
swiss_roll,numpy_sim,Swiss Roll (100D Embedding),Topology,Classification,2000,100,2026-01-11
gaussian_blob,numpy_sim,Gaussian Blob (100D),Topology,Classification,2000,100,2026-01-11
20ng,sklearn,20 Newsgroups (TF-IDF),NLP,Classification,18846,10000,2025-01-08
lorenz,physics_sim,Lorenz Attractor,Chaos,Regression,5000,3,2026-01-11
mnist,OpenML,MNIST_784,Vision,Classification,70000,784,2025-03-12
fashion_mnist,OpenML,Fashion-MNIST,Vision,Classification,70000,784,2025-03-12
cifar10,OpenML,CIFAR_10,Vision,Classification,60000,3072,2025-03-12
titanic,OpenML,Titanic,Tabular,Classification,891,12,2025-03-12
boston,UCI,Boston Housing,Tabular,Regression,506,13,2024-11-02
breast_cancer,UCI,Breast Cancer WDBC,Tabular,Classification,569,30,2024-11-02
california_housing,sklearn,California Housing,Tabular,Regression,20640,8,2025-01-08
diabetes,sklearn,Diabetes,Tabular,Regression,442,10,2025-01-08
40945,OpenML,OpenML_Task_40945,Tabular,Regression,7274,444,2025-03-12
40946,OpenML,OpenML_Task_40946,Tabular,Classification,2842,221,2025-03-12
40947,OpenML,OpenML_Task_40947,Graph,Classification,1494,349,2025-03-12
40948,OpenML,OpenML_Task_40948,Graph,Classification,3065,269,2025-03-12
40949,OpenML,OpenML_Task_40949,Tabular,Classification,2176,34,2025-03-12
40950,OpenML,OpenML_Task_40950,Vision,Classification,26372,1176,2025-03-12
40951,OpenML,OpenML_Task_40951,Tabular,Classification,7457,7,2025-03-12
40952,OpenML,OpenML_Task_40952,Tabular,Classification,6860,317,2025-03-12
40953,OpenML,OpenML_Task_40953,Tabular,Regression,780,308,2025-03-12
